TODO,LOC,TODO/LOC,FILE
3,249,1.20%,Userland/Services/WindowServer/WindowSwitcher.cpp
2,128,1.56%,Userland/Services/WindowServer/main.cpp
10,1937,0.52%,Userland/Services/WindowServer/WindowManager.cpp
1,71,1.41%,Userland/Services/WindowServer/Menubar.h
1,642,0.16%,Userland/Services/WindowServer/Menu.cpp
16,1208,1.32%,Userland/Services/WindowServer/ConnectionFromClient.cpp
11,1409,0.78%,Userland/Services/WindowServer/Compositor.cpp
5,808,0.62%,Userland/Services/WindowServer/WindowFrame.cpp
1,15,6.67%,Userland/Shell/Tests/builtin-redir.sh
1,31,3.23%,Userland/Shell/Tests/control-structure-as-command.sh
1,34,2.94%,Userland/Shell/Tests/function.sh
1,45,2.22%,Userland/Shell/Tests/if.sh
3,3113,0.10%,Userland/Shell/AST.cpp
1,379,0.26%,Userland/Shell/ImmediateFunctions.cpp
3,1864,0.16%,Userland/Shell/Parser.cpp
2,453,0.44%,Userland/Shell/Shell.h
3,491,0.61%,Userland/Shell/SyntaxHighlighter.cpp
1,1390,0.07%,Userland/Shell/Builtin.cpp
3,2073,0.14%,Userland/Shell/Shell.cpp
1,103,0.97%,Userland/Utilities/aplay.cpp
1,68,1.47%,Userland/Utilities/bt.cpp
3,122,2.46%,Userland/Utilities/cal.cpp
1,62,1.61%,Userland/Utilities/date.cpp
1,130,0.77%,Userland/Utilities/disasm.cpp
1,27,3.70%,Userland/Utilities/fdtdump.cpp
1,159,0.63%,Userland/Utilities/file.cpp
4,148,2.70%,Userland/Utilities/functrace.cpp
1,56,1.79%,Userland/Utilities/gzip.cpp
9,655,1.37%,Userland/Utilities/headless-browser.cpp
1,759,0.13%,Userland/Utilities/js.cpp
2,482,0.41%,Userland/Utilities/less.cpp
1,172,0.58%,Userland/Utilities/lspci.cpp
1,90,1.11%,Userland/Utilities/man.cpp
3,292,1.03%,Userland/Utilities/markdown-check.cpp
1,52,1.92%,Userland/Utilities/mknod.cpp
1,95,1.05%,Userland/Utilities/mktemp.cpp
2,250,0.80%,Userland/Utilities/ntpquery.cpp
1,106,0.94%,Userland/Utilities/pmemdump.cpp
5,330,1.52%,Userland/Utilities/pro.cpp
1,99,1.01%,Userland/Utilities/profile.cpp
5,630,0.79%,Userland/Utilities/readelf.cpp
3,347,0.86%,Userland/Utilities/run-tests.cpp
11,826,1.33%,Userland/Utilities/strace.cpp
1,555,0.18%,Userland/Utilities/stty.cpp
1,109,0.92%,Userland/Utilities/tail.cpp
1,226,0.44%,Userland/Utilities/tar.cpp
1,118,0.85%,Userland/Utilities/test-bindtodevice.cpp
1,130,0.77%,Userland/Utilities/test-imap.cpp
1,95,1.05%,Userland/Utilities/uniq.cpp
1,128,0.78%,Userland/Utilities/unzip.cpp
